"Age","Gender","HomeOwnership","InternetConnection","MaritalStatus","CellphoneService","NumCars","PPVFreq","MobileOperatingSystem","StreamingRadio","CustomerID","EducationLevel","Cluster"
33,"Male","Own","Telmex","Married","Telcel",1,"Rarely","IOS","YT Music",877687,"Doctorate","cluster_0"
47,"Male","Rent","Mega cable","Married","Telcel",2,"Never","Android","YT Music",877723,"Doctorate","cluster_0"
50,"Male","Rent","Mega cable","Married","Telcel",2,"Weekly","Android","YT Music",877757,"Doctorate","cluster_0"
35,"Male","Rent","Axtel","Married","Telcel",2,"Weekly","IOS","YT Music",877792,"Bachelor","cluster_0"
32,"Male","Own","Axtel","Married","Telcel",2,"Weekly","Android","YT Music",877840,"Bachelor","cluster_0"
32,"Male","Rent","Telmex","Married","Telcel",2,"Rarely","IOS","YT Music",877988,"Bachelor","cluster_0"
32,"Male","Rent","Mega cable","Married","Telcel",2,"Weekly","Android","Spotify",878821,"Master's Degree","cluster_0"
32,"Male","Rent","Mega cable","Married","Movistar",2,"Rarely","IOS","YT Music",878822,"Bachelor","cluster_0"
33,"Male","Rent","Axtel","Married","Telcel",2,"Weekly","Android","YT Music",878842,"Master's Degree","cluster_0"
43.99999999999999,"Male","Rent","Axtel","Married","Telcel",2,"Weekly","Android","YT Music",878855,"Master's Degree","cluster_0"
39,"Male","Own","Axtel","Divorced","Telcel",3,"Weekly","IOS","YT Music",878871,"Master's Degree","cluster_0"
29,"Male","Own","Mega cable","Married","Movistar",1,"Never","Android","YT Music",878907,"Master's Degree","cluster_0"
41,"Male","Rent","Telmex","Married","Telcel",2,"Weekly","Android","YT Music",878908,"Doctorate","cluster_0"
43.99999999999999,"Female","Rent","Mega cable","Never Married","Telcel",1,"Never","Android","Spotify",878912,"High School","cluster_0"
59,"Male","Rent","Mega cable","Married","Telcel",3,"Weekly","Android","Spotify",878919,"Master's Degree","cluster_0"
45,"Male","Own","Axtel","Married","Telcel",2,"Never","Android","YT Music",878974,"Bachelor","cluster_0"
32,"Male","Rent","Mega cable","Married","Telcel",2,"Weekly","Android","YT Music",878977,"Bachelor","cluster_0"
32,"Male","Rent","Mega cable","Married","Movistar",2,"Never","Android","YT Music",878993,"Bachelor","cluster_0"
28,"Male","Rent","Axtel","Never Married","Movistar",1,"Never","Android","YT Music",879011,"High School","cluster_0"
28,"Male","Own","Axtel","Never Married","Telcel",1,"Rarely","IOS","YT Music",879017,"High School","cluster_0"
40,"Male","Rent","Mega cable","Married","Telcel",2,"Weekly","Android","YT Music",879020,"Associate's Degree","cluster_0"
39,"Male","Own","Mega cable","Married","Telcel",3,"Rarely","IOS","YT Music",879033,"Bachelor","cluster_0"
28,"Female","Rent","Axtel","Married","Telcel",1,"Never","IOS","YT Music",879055,"Master's Degree","cluster_0"
31,"Male","Rent","Other","Married","Movistar",2,"Weekly","Windows phone","YT Music",879061,"Bachelor","cluster_0"
26,"Female","Rent","Axtel","Never Married","Movistar",0,"Never","Android","YT Music",879072,"High School","cluster_0"
33,"Female","Rent","Telmex","Married","Movistar",2,"Rarely","IOS","Spotify",879232,"Bachelor","cluster_0"
28,"Male","Rent","Telmex","Never Married","Telcel",1,"Monthly","Android","YT Music",879264,"High School","cluster_0"
25,"Male","Rent","Axtel","Never Married","Movistar",1,"Never","Android","YT Music",879306,"High School","cluster_0"
29,"Male","Own","Axtel","Married","Telcel",2,"Weekly","Windows phone","YT Music",879310,"Bachelor","cluster_0"
31,"Male","Rent","Mega cable","Married","Telcel",2,"Weekly","IOS","YT Music",879403,"Bachelor","cluster_0"
45,"Male","Rent","Telmex","Married","Telcel",2,"Weekly","Android","Spotify",879453,"Master's Degree","cluster_0"
42,"Male","Rent","Mega cable","Married","Telcel",4,"Never","Android","YT Music",879454,"Master's Degree","cluster_0"
45,"Male","Own","Izzi","Married","Telcel",2,"Weekly","Windows phone","YT Music",879478,"Doctorate","cluster_0"
48,"Male","Rent","Telmex","Married","Telcel",2,"Weekly","Android","Spotify",879500,"Master's Degree","cluster_0"
33,"Male","Own","Mega cable","Married","Telcel",2,"Weekly","Android","YT Music",879535,"Bachelor","cluster_0"
27,"Male","Own","Mega cable","Married","Telcel",2,"Weekly","Android","YT Music",879889,"Some College","cluster_0"
35,"Male","Rent","Telmex","Never Married","Telcel",2,"Rarely","IOS","YT Music",879926,"High School","cluster_0"
39,"Male","Rent","Telmex","Married","Telcel",4,"Weekly","Android","Spotify",881801,"Bachelor","cluster_0"
31,"Male","Own","Mega cable","Never Married","Telcel",2,"Rarely","IOS","Amazon Music",882315,"High School","cluster_0"
24,"Male","Rent","Telmex","Never Married","Movistar",1,"Never","Android","Amazon Music",882316,"High School","cluster_0"
28,"Male","Rent","Axtel","Married","Telcel",2,"Rarely","IOS","Amazon Music",882319,"Master's Degree","cluster_0"
29.999999999999996,"Male","Rent","Telmex","Married","Telcel",1,"Never","Android","Amazon Music",882320,"Master's Degree","cluster_0"
29,"Female","Rent","Axtel","Married","Movistar",1,"Never","IOS","Amazon Music",882321,"Master's Degree","cluster_0"
42,"Male","Own","Telmex","Married","Telcel",2,"Weekly","Android","Amazon Music",882324,"Bachelor","cluster_0"
29.999999999999996,"Male","Own","Axtel","Divorced","Telcel",1,"Rarely","IOS","Amazon Music",882325,"Master's Degree","cluster_0"
28,"Male","Own","Telmex","Married","Telcel",2,"Never","Android","Amazon Music",882326,"Bachelor","cluster_0"
47,"Male","Own","Mega cable","Married","Telcel",1,"Never","Android","Amazon Music",882328,"Doctorate","cluster_0"
28,"Male","Rent","Axtel","Married","Telcel",2,"Weekly","Android","Amazon Music",882330,"Bachelor","cluster_0"
32,"Male","Rent","Axtel","Married","Telcel",2,"Weekly","Android","Amazon Music",882332,"Master's Degree","cluster_0"
26,"Male","Rent","Telmex","Married","Telcel",1,"Never","Android","Amazon Music",882333,"Master's Degree","cluster_0"
31,"Male","Own","Telmex","Married","Movistar",2,"Rarely","IOS","Amazon Music",882336,"Bachelor","cluster_0"
40,"Female","Rent","Mega cable","Married","Other",1,"Never","IOS","Amazon Music",882337,"Master's Degree","cluster_0"
27,"Male","Rent","Axtel","Married","Movistar",2,"Rarely","IOS","Amazon Music",882340,"Bachelor","cluster_0"
29,"Male","Rent","Mega cable","Married","Telcel",2,"Never","Android","Amazon Music",882341,"Bachelor","cluster_0"
31,"Male","Own","Mega cable","Separated","Telcel",2,"Weekly","IOS","Amazon Music",882342,"Some College","cluster_0"
21.999999999999996,"Male","Rent","Telmex","Never Married","Movistar",1,"Never","Android","Amazon Music",882343,"High School","cluster_0"
32,"Male","Own","Mega cable","Never Married","Telcel",1,"Rarely","IOS","Amazon Music",882346,"High School","cluster_0"
33,"Female","Rent","Axtel","Married","Telcel",2,"Rarely","IOS","Amazon Music",882348,"Master's Degree","cluster_0"
37,"Male","Rent","Mega cable","Divorced","Telcel",1,"Weekly","Android","Amazon Music",882350,"Master's Degree","cluster_0"
29,"Male","Rent","Mega cable","Married","Telcel",2,"Never","Android","Amazon Music",882351,"Master's Degree","cluster_0"
32,"Male","Rent","Axtel","Never Married","Telcel",1,"Never","Android","Amazon Music",882354,"High School","cluster_0"
40,"Male","Rent","Telmex","Married","Telcel",2,"Weekly","Android","Amazon Music",882356,"Master's Degree","cluster_0"
41,"Female","Rent","Mega cable","Married","Telcel",2,"Never","IOS","Amazon Music",882357,"Master's Degree","cluster_0"
40,"Female","Rent","Telmex","Never Married","Movistar",1,"Monthly","Android","Amazon Music",882358,"High School","cluster_0"
33,"Male","Own","Mega cable","Married","Telcel",5,"Rarely","IOS","Amazon Music",882359,"Some College","cluster_0"
23,"Male","Own","Axtel","Married","Telcel",1,"Rarely","IOS","Amazon Music",882360,"Master's Degree","cluster_0"
