CustomerID,Channel
916847,WB
916861,Other
916861,CNN
916864,Cartoon Network
916864,A&E
916864,CNN
916864,CNN
916866,CNN
916866,A&E
916866,CNN
916866,CNN
916866,ESPN
916867,Studio Universal
916867,CNN
916867,Other
916867,ESPN
916875,WB
916875,Studio Universal
916875,Cartoon Network
916875,CNN
916875,Other
916875,ESPN
916875,Cartoon Network
916877,Studio Universal
916877,Cartoon Network
916877,CNN
916877,Cartoon Network
916885,CNN
916885,Studio Universal
916885,WB
916885,ESPN
916887,Other
916889,CNN
916889,CNN
916889,CNN
916894,Other
916894,CNN
916894,Studio Universal
916894,CNN
916894,Cartoon Network
916894,CNN
916909,Studio Universal
916911,ESPN
916926,CNN
916926,CNN
916926,Cartoon Network
916926,Cartoon Network
916926,Cartoon Network
916926,CNN
916926,A&E
916933,WB
916933,CNN
916933,Studio Universal
916941,Cartoon Network
916941,ESPN
916941,WB
916941,Studio Universal
916941,CNN
916943,A&E
916943,CNN
916943,CNN
916943,CNN
916950,CNN
916950,WB
916950,Studio Universal
916950,Cartoon Network
916950,CNN
916975,A&E
916975,CNN
916975,Other
916980,Cartoon Network
916980,CNN
916980,CNN
916980,Other
916980,Cartoon Network
916980,CNN
916984,ESPN
916992,A&E
916995,A&E
916995,CNN
916995,WB
916995,Studio Universal
916995,CNN
916996,ESPN
916996,Other
916996,WB
916997,Other
916997,Cartoon Network
916997,Studio Universal
917005,CNN
917005,CNN
917005,Cartoon Network
917005,CNN
917005,ESPN
917005,Cartoon Network
917005,ESPN
917005,Other
917005,CNN
917005,CNN
917005,CNN
917005,Cartoon Network
917005,CNN
917005,A&E
917006,Studio Universal
917006,WB
917007,CNN
917007,CNN
917012,ESPN
917012,WB
917012,CNN
917012,Other
917025,Other
917025,Cartoon Network
917025,CNN
917025,Studio Universal
917025,WB
917025,ESPN
917035,Other
917035,Cartoon Network
917035,ESPN
917037,CNN
917037,A&E
917037,Cartoon Network
917038,ESPN
917038,Studio Universal
917038,CNN
917038,Other
917038,A&E
917038,WB
917038,CNN
917043,CNN
917043,CNN
917052,CNN
917052,Studio Universal
917052,Other
917052,A&E
917052,ESPN
917058,Cartoon Network
917058,CNN
917058,Studio Universal
917058,WB
917060,Studio Universal
917060,CNN
917060,WB
917063,CNN
917066,CNN
917066,A&E
917066,CNN
917066,Other
917072,Studio Universal
917072,A&E
917072,CNN
917073,Other
917073,Cartoon Network
917073,CNN
917076,Studio Universal
917076,CNN
917076,CNN
917076,A&E
917079,Cartoon Network
917079,Studio Universal
917079,WB
917083,ESPN
917083,CNN
917083,Cartoon Network
917083,A&E
917083,CNN
917083,Cartoon Network
917083,CNN
917085,WB
917098,ESPN
917100,ESPN
917100,CNN
917100,Cartoon Network
917100,CNN
917100,Studio Universal
917107,ESPN
917107,Cartoon Network
917107,CNN
917108,CNN
917115,WB
917115,Studio Universal
917115,CNN
917115,ESPN
917115,Cartoon Network
917115,Other
917115,CNN
917115,CNN
917140,CNN
917140,CNN
917140,Other
917142,Other
917146,WB
917153,WB
917153,Studio Universal
917153,CNN
917153,Other
917155,ESPN
917167,CNN
917167,Studio Universal
917167,WB
917167,Cartoon Network
917169,Studio Universal
917169,A&E
917169,WB
917169,CNN
917175,Studio Universal
917175,CNN
917175,CNN
917175,A&E
917175,CNN
917175,Cartoon Network
917175,Other
917175,CNN
917175,Cartoon Network
917178,Cartoon Network
917178,CNN
917178,CNN
917188,Cartoon Network
917188,ESPN
917188,CNN
917188,Cartoon Network
917188,Other
917207,CNN
917207,A&E
917207,ESPN
917207,Cartoon Network
917207,CNN
917207,CNN
917207,Cartoon Network
917207,CNN
917207,Studio Universal
917207,CNN
917207,WB
917207,Other
917211,WB
917211,CNN
917211,Cartoon Network
917211,CNN
917211,Other
917211,CNN
917211,Cartoon Network
917228,CNN
917228,CNN
917228,CNN
917228,ESPN
917231,CNN
917231,CNN
917231,CNN
917231,A&E
917231,ESPN
917231,Cartoon Network
917231,Cartoon Network
917231,CNN
917231,Studio Universal
917231,CNN
917231,WB
917231,Other
917246,WB
917246,Studio Universal
917246,CNN
917247,Cartoon Network
917247,Cartoon Network
917247,CNN
917247,CNN
917247,Other
917248,CNN
917248,CNN
917248,Cartoon Network
917248,ESPN
917248,Other
917251,ESPN
917255,Cartoon Network
917255,CNN
917255,Cartoon Network
917257,CNN
917257,ESPN
917257,WB
917257,CNN
917257,Studio Universal
917257,Cartoon Network
917257,A&E
917257,CNN
917257,Cartoon Network
917257,Cartoon Network
917257,CNN
917260,A&E
917260,CNN
917260,Other
917264,Studio Universal
917273,CNN
917283,Studio Universal
917286,CNN
917286,ESPN
917290,Cartoon Network
917290,A&E
917290,CNN
917290,CNN
917290,Cartoon Network
917296,Studio Universal
917296,Cartoon Network
917296,Other
917297,Cartoon Network
917297,CNN
917299,Cartoon Network
917299,CNN
917299,ESPN
917299,Cartoon Network
917299,Other
917299,CNN
917299,CNN
917299,CNN
917299,ESPN
917299,CNN
917300,CNN
917300,CNN
917300,Other
917300,ESPN
917300,A&E
917300,Cartoon Network
917301,Cartoon Network
917301,CNN
917301,Other
917318,Cartoon Network
917318,Studio Universal
917318,Other
917318,WB
917319,CNN
917319,Cartoon Network
917319,CNN
917319,WB
917319,Studio Universal
917319,Cartoon Network
917319,Other
917321,A&E
917321,ESPN
917321,CNN
917321,CNN
917321,Cartoon Network
917321,WB
917325,Cartoon Network
917325,CNN
917327,ESPN
917329,Studio Universal
917329,CNN
917329,Cartoon Network
917329,A&E
917343,ESPN
917343,Cartoon Network
917343,Other
917343,CNN
917343,Cartoon Network
917344,CNN
917344,WB
917344,Studio Universal
917344,Cartoon Network
917344,Other
917344,CNN
917346,ESPN
917346,Cartoon Network
917346,Other
917346,ESPN
917351,CNN
917351,ESPN
917351,CNN
917351,Other
917353,ESPN
917353,CNN
917353,CNN
917353,WB
917353,CNN
917353,Studio Universal
917353,Other
917354,WB
917354,CNN
917354,Studio Universal
917354,Other
917354,CNN
917354,ESPN
917356,Other
917357,Cartoon Network
917357,Other
917357,ESPN
917361,Other
917361,CNN
917365,WB
917365,Cartoon Network
917370,CNN
917370,ESPN
917370,WB
917370,Studio Universal
917372,Other
917373,CNN
917373,CNN
917373,A&E
917373,WB
917385,CNN
917385,Cartoon Network
917385,Studio Universal
917385,A&E
917385,CNN
917385,Other
917385,ESPN
917385,CNN
917392,ESPN
917403,A&E
917403,Other
917403,Cartoon Network
917403,Studio Universal
917406,WB
917406,Studio Universal
917406,CNN
917406,Cartoon Network
917406,Cartoon Network
917407,A&E
917407,CNN
917411,ESPN
917411,Studio Universal
917412,CNN
917412,Studio Universal
917412,WB
917413,A&E
917413,Other
917413,Cartoon Network
917421,ESPN
917421,WB
917421,Studio Universal
917421,CNN
917421,Cartoon Network
917427,CNN
917427,WB
917427,Studio Universal
917427,CNN
917432,Cartoon Network
917432,Studio Universal
917432,WB
917432,ESPN
917435,Studio Universal
917435,ESPN
917436,ESPN
917436,Studio Universal
917436,Cartoon Network
917436,CNN
917436,CNN
917436,CNN
917436,CNN
917436,Other
917436,ESPN
917436,WB
917436,Cartoon Network
917436,ESPN
917436,CNN
917441,ESPN
917441,CNN
917441,CNN
917441,CNN
917441,Studio Universal
917441,Other
917441,CNN
917441,CNN
917448,CNN
917454,CNN
917454,CNN
917454,Cartoon Network
917454,WB
917454,Studio Universal
917465,A&E
917465,CNN
917465,CNN
917465,Studio Universal
917465,WB
917490,Other
917490,ESPN
917497,ESPN
917506,Studio Universal
917506,CNN
917506,Other
917521,CNN
917521,CNN
917528,CNN
917528,Other
917528,CNN
917528,Cartoon Network
917528,ESPN
917533,CNN
917533,Cartoon Network
917542,Studio Universal
917542,CNN
917542,WB
917542,A&E
917542,CNN
917542,CNN
917542,Cartoon Network
917544,ESPN
917544,WB
917544,Other
917544,CNN
917544,Studio Universal
917556,Other
917560,Other
917560,CNN
917560,Studio Universal
917564,A&E
917564,CNN
917566,CNN
917566,CNN
917566,CNN
917566,Other
917566,ESPN
917566,Cartoon Network
917573,Other
917573,CNN
917574,Other
917586,A&E
917586,Cartoon Network
917594,Studio Universal
917594,CNN
917594,ESPN
917594,A&E
917603,CNN
917603,Studio Universal
917603,A&E
917603,CNN
917603,Cartoon Network
917603,WB
917608,Studio Universal
917609,Other
917609,CNN
917609,Cartoon Network
917610,CNN
917610,CNN
917613,Cartoon Network
917613,A&E
917617,Studio Universal
917623,Other
917626,WB
917626,Studio Universal
917626,CNN
917626,CNN
917627,CNN
917627,WB
917627,A&E
917627,Other
917627,CNN
