Age,Gender,HomeOwnership,InternetConnection,MaritalStatus,CellphoneService,NumCars,PPVFreq,MobileOperatingSystem,StreamingRadio,CustomerID,EducationLevel
33,Male,Own,Telmex,Married,Telcel,1,Rarely,IOS,YT Music,877687,Doctorate
47,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,877723,Doctorate
50,Male,Rent,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,877757,Doctorate
35,Male,Rent,Axtel,Married,Telcel,2,Weekly,IOS,YT Music,877792,Bachelor
32,Male,Own,Axtel,Married,Telcel,2,Weekly,Android,YT Music,877840,Bachelor
32,Male,Rent,Telmex,Married,Telcel,2,Rarely,IOS,YT Music,877988,Bachelor
32,Male,Rent,Mega cable,Married,Telcel,2,Weekly,Android,Spotify,878821,Master's Degree
32,Male,Rent,Mega cable,Married,Movistar,2,Rarely,IOS,YT Music,878822,Bachelor
33,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,878842,Master's Degree
44,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,878855,Master's Degree
39,Male,Own,Axtel,Divorced,Telcel,3,Weekly,IOS,YT Music,878871,Master's Degree
29,Male,Own,Mega cable,Married,Movistar,1,Never,Android,YT Music,878907,Master's Degree
41,Male,Rent,Telmex,Married,Telcel,2,Weekly,Android,YT Music,878908,Doctorate
44,Female,Rent,Mega cable,Never Married,Telcel,1,Never,Android,Spotify,878912,High School
59,Male,Rent,Mega cable,Married,Telcel,3,Weekly,Android,Spotify,878919,Master's Degree
45,Male,Own,Axtel,Married,Telcel,2,Never,Android,YT Music,878974,Bachelor
32,Male,Rent,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,878977,Bachelor
32,Male,Rent,Mega cable,Married,Movistar,2,Never,Android,YT Music,878993,Bachelor
28,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,879011,High School
28,Male,Own,Axtel,Never Married,Telcel,1,Rarely,IOS,YT Music,879017,High School
40,Male,Rent,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,879020,Associate's Degree
39,Male,Own,Mega cable,Married,Telcel,3,Rarely,IOS,YT Music,879033,Bachelor
28,Female,Rent,Axtel,Married,Telcel,1,Never,IOS,YT Music,879055,Master's Degree
31,Male,Rent,Other,Married,Movistar,2,Weekly,Windows phone,YT Music,879061,Bachelor
26,Female,Rent,Axtel,Never Married,Movistar,0,Never,Android,YT Music,879072,High School
33,Female,Rent,Telmex,Married,Movistar,2,Rarely,IOS,Spotify,879232,Bachelor
28,Male,Rent,Telmex,Never Married,Telcel,1,Monthly,Android,YT Music,879264,High School
25,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,879306,High School
29,Male,Own,Axtel,Married,Telcel,2,Weekly,Windows phone,YT Music,879310,Bachelor
31,Male,Rent,Mega cable,Married,Telcel,2,Weekly,IOS,YT Music,879403,Bachelor
45,Male,Rent,Telmex,Married,Telcel,2,Weekly,Android,Spotify,879453,Master's Degree
42,Male,Rent,Mega cable,Married,Telcel,4,Never,Android,YT Music,879454,Master's Degree
45,Male,Own,Izzi,Married,Telcel,2,Weekly,Windows phone,YT Music,879478,Doctorate
48,Male,Rent,Telmex,Married,Telcel,2,Weekly,Android,Spotify,879500,Master's Degree
33,Male,Own,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,879535,Bachelor
27,Male,Own,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,879889,Some College
35,Male,Rent,Telmex,Never Married,Telcel,2,Rarely,IOS,YT Music,879926,High School
39,Male,Rent,Telmex,Married,Telcel,4,Weekly,Android,Spotify,881801,Bachelor
31,Male,Own,Mega cable,Never Married,Telcel,2,Rarely,IOS,Amazon Music,882315,High School
24,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,Amazon Music,882316,High School
28,Male,Rent,Axtel,Married,Telcel,2,Rarely,IOS,Amazon Music,882319,Master's Degree
30,Male,Rent,Telmex,Married,Telcel,1,Never,Android,Amazon Music,882320,Master's Degree
29,Female,Rent,Axtel,Married,Movistar,1,Never,IOS,Amazon Music,882321,Master's Degree
42,Male,Own,Telmex,Married,Telcel,2,Weekly,Android,Amazon Music,882324,Bachelor
30,Male,Own,Axtel,Divorced,Telcel,1,Rarely,IOS,Amazon Music,882325,Master's Degree
28,Male,Own,Telmex,Married,Telcel,2,Never,Android,Amazon Music,882326,Bachelor
47,Male,Own,Mega cable,Married,Telcel,1,Never,Android,Amazon Music,882328,Doctorate
28,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,Amazon Music,882330,Bachelor
32,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,Amazon Music,882332,Master's Degree
26,Male,Rent,Telmex,Married,Telcel,1,Never,Android,Amazon Music,882333,Master's Degree
31,Male,Own,Telmex,Married,Movistar,2,Rarely,IOS,Amazon Music,882336,Bachelor
40,Female,Rent,Mega cable,Married,Other,1,Never,IOS,Amazon Music,882337,Master's Degree
27,Male,Rent,Axtel,Married,Movistar,2,Rarely,IOS,Amazon Music,882340,Bachelor
29,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,Amazon Music,882341,Bachelor
31,Male,Own,Mega cable,Separated,Telcel,2,Weekly,IOS,Amazon Music,882342,Some College
22,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,Amazon Music,882343,High School
32,Male,Own,Mega cable,Never Married,Telcel,1,Rarely,IOS,Amazon Music,882346,High School
33,Female,Rent,Axtel,Married,Telcel,2,Rarely,IOS,Amazon Music,882348,Master's Degree
37,Male,Rent,Mega cable,Divorced,Telcel,1,Weekly,Android,Amazon Music,882350,Master's Degree
29,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,Amazon Music,882351,Master's Degree
32,Male,Rent,Axtel,Never Married,Telcel,1,Never,Android,Amazon Music,882354,High School
40,Male,Rent,Telmex,Married,Telcel,2,Weekly,Android,Amazon Music,882356,Master's Degree
41,Female,Rent,Mega cable,Married,Telcel,2,Never,IOS,Amazon Music,882357,Master's Degree
40,Female,Rent,Telmex,Never Married,Movistar,1,Monthly,Android,Amazon Music,882358,High School
33,Male,Own,Mega cable,Married,Telcel,5,Rarely,IOS,Amazon Music,882359,Some College
23,Male,Own,Axtel,Married,Telcel,1,Rarely,IOS,Amazon Music,882360,Master's Degree
40,Male,Rent,Mega cable,Married,Telcel,5,Never,Android,Amazon Music,882364,Bachelor
30,Male,Rent,Mega cable,Married,Movistar,1,Never,Android,Amazon Music,882366,Doctorate
38,Male,Rent,Mega cable,Married,Telcel,2,Weekly,Android,Amazon Music,882367,Bachelor
38,Male,Rent,Axtel,Married,Telcel,2,Weekly,IOS,Amazon Music,882368,Some College
33,Male,Rent,Other,Married,Telcel,2,Monthly,Android,Amazon Music,882371,Master's Degree
33,Male,Own,Mega cable,Married,Telcel,2,Weekly,Windows phone,Amazon Music,882372,Master's Degree
40,Male,Rent,Mega cable,Other,Movistar,1,Never,Android,Amazon Music,882375,Associate's Degree
25,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,Amazon Music,882376,High School
33,Male,Rent,Axtel,Married,Movistar,2,Never,Android,Amazon Music,882377,Master's Degree
41,Male,Own,Mega cable,Married,Telcel,3,Weekly,IOS,Amazon Music,882382,Master's Degree
45,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,Amazon Music,882383,Doctorate
33,Female,Rent,Mega cable,Married,Telcel,2,Rarely,IOS,Amazon Music,882387,Master's Degree
30,Male,Rent,Telmex,Divorced,Movistar,1,Rarely,IOS,Amazon Music,882388,Some College
47,Male,Rent,Telmex,Divorced,Movistar,1,Weekly,Android,Amazon Music,882391,Master's Degree
33,Female,Rent,Mega cable,Married,Movistar,2,Weekly,IOS,Amazon Music,882392,Bachelor
26,Male,Rent,Telmex,Married,Movistar,1,Never,Android,Amazon Music,882393,Bachelor
30,Male,Rent,Mega cable,Married,Movistar,1,Never,Android,Amazon Music,882395,Bachelor
28,Male,Own,Mega cable,Married,Telcel,2,Monthly,Android,Amazon Music,882397,Bachelor
25,Male,Rent,Telmex,Never Married,Telcel,1,Rarely,IOS,Amazon Music,882398,High School
38,Male,Rent,Axtel,Married,Telcel,2,Weekly,IOS,Amazon Music,882402,Bachelor
26,Male,Rent,Mega cable,Married,Movistar,1,Never,Android,Amazon Music,882403,Bachelor
32,Male,Own,Axtel,Married,Telcel,2,Never,Android,Amazon Music,882407,Bachelor
30,Male,Rent,Mega cable,Never Married,Telcel,1,Monthly,Android,Amazon Music,882409,High School
33,Male,Own,Telmex,Married,Telcel,4,Weekly,Android,Amazon Music,882410,Bachelor
29,Male,Rent,Axtel,Married,Telcel,2,Rarely,IOS,Amazon Music,882413,Master's Degree
48,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,Amazon Music,882414,High School
31,Male,Rent,Axtel,Married,Telcel,2,Never,Android,Spotify,882415,Bachelor
30,Female,Own,Mega cable,Married,Telcel,2,Never,IOS,YT Music,882419,Master's Degree
40,Male,Rent,Axtel,Married,Telcel,4,Weekly,Android,YT Music,882423,Bachelor
31,Male,Rent,Axtel,Never Married,Telcel,1,Never,Android,YT Music,882424,High School
39,Male,Rent,Mega cable,Married,Movistar,1,Never,Android,YT Music,882425,Master's Degree
33,Male,Rent,Telmex,Married,Telcel,1,Weekly,IOS,YT Music,882426,Master's Degree
25,Male,Rent,Mega cable,Never Married,Movistar,0,Never,Android,YT Music,882428,High School
30,Male,Rent,Axtel,Married,Telcel,1,Never,Android,YT Music,882429,Master's Degree
40,Male,Rent,Axtel,Married,Telcel,3,Weekly,IOS,YT Music,882433,Master's Degree
31,Male,Rent,Mega cable,Married,Telcel,1,Rarely,IOS,YT Music,882434,Bachelor
39,Male,Own,Axtel,Married,Telcel,2,Weekly,Android,YT Music,882435,Post-Doc
27,Male,Rent,Axtel,Married,Movistar,1,Never,Android,Spotify,882437,Bachelor
38,Female,Rent,Axtel,Married,Movistar,5,Rarely,IOS,Spotify,882439,Bachelor
27,Female,Rent,Telmex,Married,Telcel,2,Never,IOS,YT Music,882440,Bachelor
30,Male,Rent,Axtel,Married,Telcel,2,Never,Android,YT Music,882442,Doctorate
33,Male,Rent,Axtel,Married,Telcel,2,Monthly,Android,YT Music,882444,Bachelor
41,Male,Rent,Telmex,Married,Telcel,3,Weekly,Windows phone,Spotify,882446,Master's Degree
43,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,Spotify,882449,Master's Degree
23,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,882451,High School
24,Male,Rent,Axtel,Never Married,Telcel,1,Rarely,IOS,YT Music,882452,High School
31,Male,Rent,Mega cable,Never Married,Telcel,1,Never,Android,YT Music,882457,High School
31,Male,Rent,Telmex,Married,Telcel,2,Weekly,Android,Spotify,882459,Bachelor
30,Female,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,882462,High School
22,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,882463,High School
