CustomerID,Movie
891235,Monty Python and the Holy Grail
891138,Star Trek: The Wrath of Khan
891333,Planet of the Apes
891480,Blue in the Face
891559,Species
891456,Star Trek: First Contact
891088,Cool Runnings
891361,Halloween 2
890745,"Sound of Music, The"
891540,Monty Python and the Holy Grail
891378,Blade II
891481,Risky Business
891619,"Iron Giant, The"
891487,Batman & Robin
891487,All About Eve
891514,"Big Blue, The"
891378,Dances With Wolves
891550,Star Trek IV: The Voyage Home
891588,"Omega Code 2: Megiddo, The"
891673,"Mexican, The"
891619,Indiana Jones and the Last Crusade
891539,XXX
891576,Almost Famous
891487,Wuthering Heights
891539,"Thin Red Line, The"
891669,Hannibal
891526,"Shawshank Redemption, The"
891576,Good Will Hunting
891615,All the President's Men
891669,Drunken Master
891540,Ferris Bueller's Day Off
891565,Harry Potter and the Chamber of Secrets
891564,"Empire Strikes Back, The"
891670,Back to the Future
891526,Gladiator
891549,"American President, The"
891426,"Lord of the Rings: The Fellowship of the Ring, The"
891669,Coming to America
891669,Mission: Impossible
891512,Kissing a Fool
891673,Snatch
891550,Star Trek: First Contact
891487,Brazil
891539,G.I. Jane
891545,"Hunt for Red October, The"
891481,Starship Troopers
891411,A.I.: Artificial Intelligence
891431,Ghost in the Shell
891378,Crocodile Dundee
891088,"Perfect Murder, A"
891565,"Matrix, The"
891426,American Pie
891225,American Pie 2
891058,Dog Day Afternoon
891551,Donnie Darko
891450,Gattaca
891411,Local Hero
891378,Lean On Me
890999,Independence Day
891540,Gladiator
891564,Billy Madison
891551,"Godfather, The"
891520,"Sound of Music, The"
891480,Boys Don't Cry
891426,Far and Away
891385,Legally Blonde
891559,Scrooged
891559,Striptease
891514,Schindler's List
891441,Tombstone
891501,"Pink Panther, The"
891564,Magnolia
891409,Gladiator
891384,Aliens
891126,Space Cowboys
891358,Star Wars Episode I: The Phantom Menace
891426,"Beach, The"
891467,A.I.: Artificial Intelligence
891481,Meet the Parents
891456,Star Wars
891378,White Squall
891673,"Whole Nine Yards, The"
891673,12 Monkeys
891588,Clockstoppers
891588,Die Hard
891522,Mr. Deeds
891378,"Bodyguard, The"
891451,"Godfather, Part II, The"
891654,Star Wars Episode V: Empire Strikes Back
891058,Groundhog Day
891487,L.A. Confidential
891480,"Graduate, The"
891435,Baraka
891588,"Count of Monte Cristo, The"
891425,"Lord of the Rings: The Fellowship of the Ring, The"
891434,A.I.: Artificial Intelligence
891467,Apollo 13
