time_id,year,semester,trimester,month,day,dayWeek,monthLetter
20090102,2009,1,1,1,2,Friday,January
20090104,2009,1,1,1,4,Sunday,January
20090105,2009,1,1,1,5,Monday,January
20090106,2009,1,1,1,6,Tuesday,January
20090107,2009,1,1,1,7,Wednesday,January
20090110,2009,1,1,1,10,Saturday,January
20090111,2009,1,1,1,11,Sunday,January
20090112,2009,1,1,1,12,Monday,January
20090113,2009,1,1,1,13,Tuesday,January
20090116,2009,1,1,1,16,Friday,January
20090117,2009,1,1,1,17,Saturday,January
20090118,2009,1,1,1,18,Sunday,January
20090119,2009,1,1,1,19,Monday,January
20090120,2009,1,1,1,20,Tuesday,January
20090121,2009,1,1,1,21,Wednesday,January
20090122,2009,1,1,1,22,Thursday,January
20090123,2009,1,1,1,23,Friday,January
20090124,2009,1,1,1,24,Saturday,January
20090125,2009,1,1,1,25,Sunday,January
20090126,2009,1,1,1,26,Monday,January
20090127,2009,1,1,1,27,Tuesday,January
20090128,2009,1,1,1,28,Wednesday,January
20090130,2009,1,1,1,30,Friday,January
20090131,2009,1,1,1,31,Saturday,January
20090201,2009,1,1,2,1,Sunday,February
20090202,2009,1,1,2,2,Monday,February
20090204,2009,1,1,2,4,Wednesday,February
20090205,2009,1,1,2,5,Thursday,February
20090206,2009,1,1,2,6,Friday,February
20090208,2009,1,1,2,8,Sunday,February
20090210,2009,1,1,2,10,Tuesday,February
20090211,2009,1,1,2,11,Wednesday,February
20090212,2009,1,1,2,12,Thursday,February
20090213,2009,1,1,2,13,Friday,February
20090215,2009,1,1,2,15,Sunday,February
20090216,2009,1,1,2,16,Monday,February
20090218,2009,1,1,2,18,Wednesday,February
20090220,2009,1,1,2,20,Friday,February
20090221,2009,1,1,2,21,Saturday,February
20090222,2009,1,1,2,22,Sunday,February
20090224,2009,1,1,2,24,Tuesday,February
20090225,2009,1,1,2,25,Wednesday,February
20090226,2009,1,1,2,26,Thursday,February
20090227,2009,1,1,2,27,Friday,February
20090228,2009,1,1,2,28,Saturday,February
20090301,2009,1,1,3,1,Sunday,March
20090302,2009,1,1,3,2,Monday,March
20090303,2009,1,1,3,3,Tuesday,March
20090304,2009,1,1,3,4,Wednesday,March
20090305,2009,1,1,3,5,Thursday,March
20090307,2009,1,1,3,7,Saturday,March
20090308,2009,1,1,3,8,Sunday,March
20090309,2009,1,1,3,9,Monday,March
