"Name","Type","Level","Race","ATK","DEF","Prediction (Attribute)"
"Shining Abyss","Normal Monster",4,"Fairy",1600,1800,"LIGHT"
"Medium of the Ice Barrier","Effect Monster",7,"Spellcaster",2200,1600,"DARK"
"Chronomaly Golden Jet","Effect Monster",4,"Machine",1300,1400,"WIND"
"Turret Warrior","Effect Monster",5,"Warrior",1200,2000,"LIGHT"
"Sorcerer of Dark Magic","Effect Monster",9,"Spellcaster",3200,2800,"LIGHT"
"Nightmare Scorpion","Normal Monster",3,"Insect",900,800,"EARTH"
"Dark End Dragon","Synchro Monster",8,"Dragon",2600,2100,"LIGHT"
"Worm Apocalypse","Flip Effect Monster",1,"Reptile",300,200,"LIGHT"
"Black Salvo","Tuner Monster",3,"Machine",100,1100,"DARK"
"Nimble Angler","Effect Monster",2,"Fish",600,100,"WATER"
"The Earth - Hex-Sealed Fusion","Effect Monster",3,"Rock",1000,1600,"DARK"
"Nobledragon Magician","Pendulum Tuner Effect Monster",3,"Spellcaster",700,1400,"DARK"
"Bujingi Centipede","Effect Monster",4,"Beast",1700,500,"EARTH"
"Melomelody the Brass Djinn","XYZ Monster",3,"Fiend",1400,1600,"DARK"
"Laval Burner","Effect Monster",5,"Pyro",2100,1000,"FIRE"
"Pitch-Black Warwolf","Effect Monster",4,"Beast-Warrior",1600,600,"WIND"
"Killer Needle","Normal Monster",4,"Insect",1200,1000,"EARTH"
"Great Dezard","Effect Monster",6,"Spellcaster",1900,2300,"DARK"
"Brotherhood of the Fire Fist - Kirin","Synchro Monster",8,"Beast-Warrior",2000,2800,"DARK"
"Masked HERO Blast","Fusion Monster",6,"Warrior",2200,1800,"EARTH"
"Laval Miller","Effect Monster",3,"Pyro",300,400,"FIRE"
"Anthrosaurus","Normal Monster",3,"Dinosaur",1000,850,"EARTH"
"Silent Angler","Effect Monster",4,"Fish",800,1400,"WATER"
"Shurit, Strategist of the Nekroz","Effect Monster",3,"Warrior",300,1800,"WIND"
"Dewdark of the Ice Barrier","Tuner Monster",2,"Aqua",1200,800,"WATER"
"SPYRAL Master Plan","Effect Monster",7,"Spellcaster",1200,2800,"DARK"
"Evilswarm Ophion","XYZ Monster",4,"Dragon",2550,1650,"DARK"
"The Agent of Judgment - Saturn","Effect Monster",6,"Fairy",2400,0,"LIGHT"
"Lightray Sorcerer","Effect Monster",6,"Spellcaster",2300,2000,"DARK"
"Madolche Hootcake","Effect Monster",3,"Beast",1500,1100,"EARTH"
"Destiny HERO - Drilldark","Effect Monster",4,"Warrior",1600,1200,"EARTH"
"Fenrir the Nordic Wolf","Effect Monster",10,"Beast",4000,4000,"LIGHT"
"Flamvell Fiend","Effect Monster",5,"Fiend",2100,1200,"DARK"
"Gogogo Aristera & Dexia","Effect Monster",4,"Rock",0,2200,"EARTH"
"Gem-Knight Garnet","Normal Monster",4,"Pyro",1900,0,"FIRE"
"Caninetaur","Effect Monster",3,"Beast-Warrior",1500,200,"DARK"
"Gishki Ariel","Flip Effect Monster",4,"Spellcaster",1000,1800,"DARK"
"Gimmick Puppet Twilight Joker","Effect Monster",8,"Machine",800,1600,"LIGHT"
"Samurai Cavalry of Reptier","Pendulum Effect Monster",4,"Dinosaur",1800,1200,"EARTH"
"Victory Viper XX03","Effect Monster",4,"Machine",1200,1000,"WIND"
"Odd-Eyes Phantom Dragon","Pendulum Effect Monster",7,"Dragon",2500,2000,"DARK"
"Voltic Kong","Effect Monster",4,"Beast",1800,1000,"LIGHT"
"Vylon Omega","Synchro Monster",10,"Fairy",3200,1900,"LIGHT"
"Spell Striker","Effect Monster",3,"Warrior",600,200,"EARTH"
"Genex Army","Effect Monster",6,"Machine",2300,1300,"DARK"
"Cave Dragon","Effect Monster",4,"Dragon",2000,100,"FIRE"
"Droll & Lock Bird","Effect Monster",1,"Spellcaster",0,0,"LIGHT"
"Flower Cardian Clover with Boar","Effect Monster",7,"Warrior",1000,1000,"DARK"
"Mechaleon","Normal Monster",2,"Reptile",800,600,"EARTH"
"Stargazer Magician","Pendulum Effect Monster",5,"Spellcaster",1200,2400,"WIND"
"Kozmo Sliprider","Effect Monster",5,"Machine",2300,800,"LIGHT"
"Frozen Fitzgerald","Synchro Monster",5,"Fiend",2500,2500,"DARK"
"Hand-Holding Genie","Effect Monster",4,"Fiend",1000,1600,"DARK"
"Max Warrior","Effect Monster",4,"Warrior",1800,800,"EARTH"
"Kaiser Dragon","Fusion Monster",7,"Dragon",2300,2000,"WIND"
"Tyrant Dragon","Effect Monster",8,"Dragon",2900,2500,"DARK"
"Inzektor Giga-Mantis","Effect Monster",6,"Insect",2400,0,"WIND"
"Elemental HERO Lady Heat","Effect Monster",4,"Pyro",1300,1000,"FIRE"
"Inzektor Ant","Effect Monster",3,"Insect",200,600,"EARTH"
"Crystal Beast Topaz Tiger","Effect Monster",4,"Beast",1600,1000,"LIGHT"
"Cannonball Spear Shellfish","Effect Monster",2,"Aqua",1000,1000,"WATER"
"Flamvell Magician","Tuner Monster",4,"Spellcaster",1400,200,"DARK"
"Backup Warrior","Effect Monster",5,"Warrior",2100,0,"LIGHT"
"Majestic Mech - Goryu","Effect Monster",8,"Fairy",2900,1800,"LIGHT"
"Catapult Turtle","Effect Monster",5,"Aqua",1000,2000,"WATER"
"Griggle","Effect Monster",1,"Plant",350,300,"EARTH"
"True King Agnimazud, the Vanisher","Effect Monster",9,"Wyrm",2900,1900,"EARTH"
"Dark Resonator","Tuner Monster",3,"Fiend",1300,300,"FIRE"
"Blade Skater","Normal Monster",4,"Warrior",1400,1500,"EARTH"
"Igknight Templar","Pendulum Normal Monster",4,"Warrior",1700,1300,"FIRE"
"Secret Sect Druid Wid","Effect Monster",4,"Spellcaster",0,1800,"LIGHT"
"The Creator Incarnate","Effect Monster",4,"Warrior",1600,1500,"LIGHT"
"Alien Shocktrooper","Normal Monster",4,"Reptile",1900,800,"WATER"
"Lunalight Panther Dancer","Fusion Monster",8,"Beast-Warrior",2800,2500,"DARK"
"Primitive Butterfly","Effect Monster",5,"Insect",1200,900,"WIND"
"Naturia Cosmobeet","Tuner Monster",2,"Plant",1000,700,"EARTH"
"Hand of Nephthys","Effect Monster",2,"Spellcaster",600,600,"DARK"
"Boneheimer","Normal Monster",3,"Aqua",850,400,"WATER"
"Dark Paladin","Fusion Monster",8,"Spellcaster",2900,2400,"DARK"
"Dark Paladin","Fusion Monster",8,"Spellcaster",2900,2400,"DARK"
"Dark Paladin","Fusion Monster",8,"Spellcaster",2900,2400,"DARK"
"Galaxy Wizard","Effect Monster",4,"Spellcaster",0,1800,"LIGHT"
"T.G. Wonder Magician","Synchro Tuner Monster",5,"Spellcaster",1900,0,"DARK"
"Diabound Kernel","Effect Monster",5,"Fiend",1800,1200,"DARK"
"Metalfoes Mithrilium","Fusion Monster",6,"Psychic",2600,1000,"LIGHT"
"Sea Monster of Theseus","Fusion Monster",5,"Zombie",2200,1800,"DARK"
"The Legendary Fisherman II","Effect Monster",5,"Warrior",2200,1800,"DARK"
"Petiteranodon","Effect Monster",2,"Dinosaur",500,500,"EARTH"
"Souleating Oviraptor","Effect Monster",4,"Dinosaur",1800,500,"EARTH"
"Odd-Eyes Wing Dragon","Synchro Pendulum Effect Monster",8,"Dragon",3000,2500,"DARK"
"White Aura Whale","Synchro Monster",8,"Fish",2800,2000,"WATER"
"White Aura Dolphin","Synchro Monster",6,"Fish",2400,1000,"WATER"
"Tornado Dragon","XYZ Monster",4,"Wyrm",2100,2000,"EARTH"
"Performapal Five-Rainbow Magician","Pendulum Effect Monster",1,"Spellcaster",100,100,"DARK"
"Cyberdarkness Dragon","Fusion Monster",10,"Machine",2000,2000,"EARTH"
"Time Maiden","Effect Monster",1,"Fairy",0,0,"LIGHT"
"Super Vehicroid - Mobile Base","Fusion Monster",10,"Machine",0,5000,"EARTH"
"Amazoness Pet Liger","Fusion Monster",7,"Beast",2500,2400,"EARTH"
"Digitron","Normal Monster",2,"Cyberse",1500,0,"DARK"
"SPYGAL Misty","Effect Monster",4,"Spellcaster",1500,1600,"DARK"
"SPYRAL Tough","Effect Monster",4,"Warrior",1900,1500,"LIGHT"
"SPYRAL Sleeper","Effect Monster",8,"Fiend",2800,1200,"DARK"
"SPYRAL GEAR - Last Resort","Effect Monster",4,"Machine",1000,1000,"EARTH"
"Ash Blossom & Joyous Spring","Tuner Monster",3,"Zombie",0,1800,"DARK"
"Supreme King Dragon Dark Rebellion","XYZ Monster",4,"Dragon",2500,2000,"DARK"
"Cyberdark Claw","Effect Monster",3,"Dragon",1600,800,"EARTH"
"Performapal Odd-Eyes Minitaurus","Pendulum Effect Monster",4,"Beast-Warrior",1200,1600,"LIGHT"
"Infernity Patriarch","Effect Monster",4,"Fiend",1000,2000,"DARK"
"Dark Magician","Normal Monster",7,"Spellcaster",2500,2100,"DARK"
"Senju of the Thousand Hands","Effect Monster",4,"Fairy",1400,1000,"LIGHT"
"Parasite Paracide","Flip Effect Monster",2,"Insect",500,300,"EARTH"
"Dark Magician Girl","Effect Monster",6,"Spellcaster",2000,1700,"DARK"
"Flame Swordsman","Fusion Monster",5,"Warrior",1800,1600,"FIRE"
"Paleozoic Anomalocaris","XYZ Monster",2,"Aqua",2400,0,"WATER"
"Dark Magician","Normal Monster",7,"Spellcaster",2500,2100,"DARK"
"Odd-Eyes Pendulum Dragon","Pendulum Effect Monster",7,"Dragon",2500,2000,"DARK"
"Stardust Dragon","Synchro Monster",8,"Dragon",2500,2000,"FIRE"
