Name,Type,Level,Race,Attribute,ATK,DEF
The 13th Grave,Normal Monster,3,Zombie,DARK,1200,900
Castle of Dark Illusions,Flip Effect Monster,4,Fiend,DARK,920,1930
Lava Golem,Effect Monster,8,Fiend,FIRE,3000,2500
Seismic Crasher,Effect Monster,3,Rock,EARTH,1400,300
Laval Lancelord,Effect Monster,6,Warrior,FIRE,2100,200
Performapal Springoose,Effect Monster,5,Winged Beast,WIND,1100,2400
Miracle Flipper,Effect Monster,2,Spellcaster,LIGHT,300,500
Key Mouse,Tuner Monster,1,Beast,EARTH,100,100
Vylon Hept,Effect Monster,4,Fairy,LIGHT,1800,800
Koa'ki Meiru Prototype,Effect Monster,4,Rock,EARTH,1800,1800
Fenrir,Effect Monster,4,Beast,WATER,1400,1200
Rapid Warrior,Effect Monster,4,Warrior,WIND,1200,200
Mermail Abyssnose,Effect Monster,4,Fish,WATER,1500,1500
Jet Warrior,Synchro Monster,5,Warrior,FIRE,2100,1200
T.G. Warwolf,Effect Monster,3,Beast-Warrior,DARK,1200,0
Gusto Squirro,Tuner Monster,2,Thunder,WIND,0,1800
Performapal Elephammer,Effect Monster,6,Beast,EARTH,2600,1800
Evilswarm Nightmare,XYZ Monster,4,Fiend,DARK,950,1950
Dinomist Brachion,Pendulum Effect Monster,5,Machine,WATER,2000,800
Gagaga Sister,Effect Monster,2,Spellcaster,DARK,200,800
Wattgiraffe,Effect Monster,4,Thunder,LIGHT,1200,100
Summoner Monk,Effect Monster,4,Spellcaster,DARK,800,1600
Gearfried the Iron Knight,Effect Monster,4,Warrior,EARTH,1800,1600
Goblin of Greed,Effect Monster,4,Fiend,EARTH,1000,1800
Bahamut Shark,XYZ Monster,4,Sea Serpent,WATER,2600,2100
Frightfur Tiger,Fusion Monster,6,Fiend,DARK,1900,1200
Water Spirit,Normal Tuner Monster,1,Aqua,WATER,400,1200
Superheavy Samurai Warlord Susanowo,Synchro Monster,10,Machine,EARTH,2400,3800
Cherry Inmato,Tuner Monster,2,Plant,DARK,700,400
Prevent Rat,Normal Monster,4,Beast,EARTH,500,2000
Totem Dragon,Effect Monster,2,Dragon,EARTH,400,200
Daigusto Emeral,XYZ Monster,4,Rock,WIND,1800,800
Malefic Rainbow Dragon,Effect Monster,10,Dragon,DARK,4000,0
"Virgil, Rock Star of the Burning Abyss",Synchro Monster,6,Spellcaster,LIGHT,2500,1000
Gladiator Beast Retiari,Effect Monster,3,Aqua,WATER,1200,800
Majespecter Toad - Ogama,Pendulum Effect Monster,4,Spellcaster,WIND,1300,500
Alien Ammonite,Tuner Monster,1,Reptile,LIGHT,500,200
Thunder End Dragon,XYZ Monster,8,Dragon,LIGHT,3000,2000
Atlantean Marksman,Effect Monster,3,Sea Serpent,WATER,1400,0
Temple of Skulls,Normal Monster,4,Zombie,DARK,900,1300
"Rubic, Malebranche of the Burning Abyss",Tuner Monster,3,Fiend,DARK,100,2100
Doron,Normal Monster,2,Warrior,EARTH,900,500
Hiita the Fire Charmer,Flip Effect Monster,3,Spellcaster,FIRE,500,1500
Empress of Prophecy,XYZ Monster,5,Spellcaster,LIGHT,2000,1700
Dragunity Arma Mystletainn,Effect Monster,6,Dragon,WIND,2100,1500
Dragunity Knight - Gae Bulg,Synchro Monster,6,Dragon,WIND,2000,1100
Geargiarmor,Effect Monster,4,Machine,EARTH,1100,1900
Armed Dragon LV3,Effect Monster,3,Dragon,WIND,1200,900
Expressroid,Effect Monster,4,Machine,EARTH,400,1600
Doggy Diver,Effect Monster,4,Warrior,DARK,1000,1000
Junk Changer,Tuner Monster,3,Warrior,EARTH,1500,900
Geargiano Mk-II,Effect Monster,3,Machine,EARTH,1000,500
Satellarknight Unukalhai,Effect Monster,4,Warrior,LIGHT,1800,1000
Dark Mimic LV3,Effect Monster,3,Fiend,DARK,1000,1000
Kojikocy,Normal Monster,4,Warrior,EARTH,1500,1200
Herald of Pure Light,XYZ Monster,2,Fairy,LIGHT,600,1000
Kozmo Soartroopers,Effect Monster,3,Psychic,DARK,1000,1000
Vylon Tetra,Tuner Monster,2,Machine,LIGHT,900,900
Prime Material Falcon,Effect Monster,5,Winged Beast,WIND,2200,800
T.G. Striker,Tuner Monster,2,Warrior,EARTH,800,0
Mysterious Guard,Flip Effect Monster,3,Spellcaster,EARTH,800,1200
Ronintoadin,Effect Monster,2,Aqua,WATER,100,2000
Photon Crusher,Effect Monster,4,Warrior,LIGHT,2000,0
Vampire Koala,Effect Monster,4,Beast,EARTH,1800,1500
Hazy Flame Sphynx,Effect Monster,6,Beast-Warrior,FIRE,1900,1900
Super Roboyarou,Fusion Monster,6,Machine,EARTH,1200,500
Chaos Necromancer,Effect Monster,1,Fiend,DARK,0,0
Bee List Soldier,Effect Monster,1,Insect,WIND,500,400
Kagemusha of the Six Samurai,Tuner Monster,2,Warrior,EARTH,400,1800
Rune-Eyes Pendulum Dragon,Fusion Monster,8,Dragon,DARK,3000,2000
The Hunter with 7 Weapons,Effect Monster,3,Warrior,EARTH,1000,600
R-Genex Magma,Effect Monster,3,Pyro,FIRE,1000,200
Cyber End Dragon,Fusion Monster,10,Machine,LIGHT,4000,2800
Cyber End Dragon,Fusion Monster,10,Machine,LIGHT,4000,2800
"Rose, Warrior of Revenge",Tuner Monster,4,Warrior,FIRE,1600,600
ABC-Dragon Buster,Fusion Monster,8,Machine,LIGHT,3000,2800
White Ninja,Flip Effect Monster,4,Warrior,LIGHT,1500,800
Deep-Space Cruiser IX,Effect Monster,9,Machine,LIGHT,900,900
Dimension Fortress Weapon,Effect Monster,4,Machine,DARK,1700,200
Dark Requiem Xyz Dragon,XYZ Monster,5,Dragon,DARK,3000,2500
Divine Dragon Knight Felgrand,XYZ Monster,8,Warrior,LIGHT,2800,1800
Fusionist,Fusion Monster,3,Beast,EARTH,900,700
Brotherhood of the Fire Fist - Spirit,Tuner Monster,3,Beast-Warrior,FIRE,500,200
Ultimaya Tzolkin,Synchro Monster,12,Dragon,DARK,0,0
PSY-Framegear Epsilon,Tuner Monster,2,Psychic,LIGHT,1500,0
Malefic Cyber End Dragon,Effect Monster,10,Machine,DARK,4000,2800
Nekogal 1,Normal Monster,3,Beast,EARTH,1100,900
Uraby,Normal Monster,4,Dinosaur,EARTH,1500,800
Toy Knight,Effect Monster,4,Machine,EARTH,200,1200
Shadow of the Six Samurai - Shien,XYZ Monster,4,Warrior,EARTH,2500,400
Heroic Challenger - Thousand Blades,Effect Monster,4,Warrior,EARTH,1300,1100
Overdrive Teleporter,Effect Monster,6,Psychic,LIGHT,2100,1200
Bujintei Kagutsuchi,XYZ Monster,4,Beast-Warrior,LIGHT,2500,2000
Key Mace,Normal Monster,1,Fairy,LIGHT,400,300
Elemental HERO Nova Master,Fusion Monster,8,Warrior,FIRE,2600,2100
Ancient Gear Engineer,Effect Monster,5,Machine,EARTH,1500,1500
Silent Swordsman LV3,Effect Monster,3,Warrior,LIGHT,1000,1000
Blackwing - Gale the Whirlwind,Tuner Monster,3,Winged Beast,DARK,1300,400
Gladiator Beast Lanista,Effect Monster,4,Winged Beast,WIND,1800,1200
Worm Victory,Flip Effect Monster,7,Reptile,LIGHT,0,2500
Constellar Praesepe,XYZ Monster,4,Machine,LIGHT,2400,800
"Bixi, Water of the Yang Zing",Effect Monster,2,Wyrm,WATER,0,2000
XY-Dragon Cannon,Fusion Monster,6,Machine,LIGHT,2200,1900
Hyosube,Normal Monster,4,Aqua,WATER,1500,900
Blue-Eyes Twin Burst Dragon,Fusion Monster,10,Dragon,LIGHT,3000,2500
Asura Priest,Spirit Monster,4,Fairy,LIGHT,1700,1200
Meklord Army of Granel,Effect Monster,4,Machine,EARTH,1600,1200
Cyber Prima,Effect Monster,6,Warrior,LIGHT,2300,1600
Night Papilloperative,XYZ Monster,4,Warrior,DARK,2600,2000
Gambler of Legend,Effect Monster,4,Spellcaster,DARK,500,1400
XX-Saber Hyunlei,Synchro Monster,6,Warrior,EARTH,2300,1300
Morphtronic Staplen,Effect Monster,4,Machine,EARTH,1400,1000
Satellarknight Altair,Effect Monster,4,Warrior,LIGHT,1700,1300
Overdrive,Normal Monster,4,Machine,EARTH,1600,1500
Princess Curran,Effect Monster,4,Spellcaster,DARK,2000,0
Road Warrior,Synchro Monster,8,Warrior,LIGHT,3000,1500
Des Lacooda,Effect Monster,3,Zombie,EARTH,500,600
Tyr of the Nordic Champions,Effect Monster,4,Warrior,LIGHT,2000,2000
Great Long Nose,Spirit Monster,5,Beast-Warrior,DARK,1900,1700
Neo Flamvell Hedgehog,Tuner Monster,3,Pyro,FIRE,800,200
Steel Cavalry of Dinon,Pendulum Effect Monster,4,Dinosaur,EARTH,1600,2600
Power Tool Dragon,Synchro Monster,7,Machine,EARTH,2300,2500
Laval Volcano Handmaiden,Tuner Monster,1,Pyro,FIRE,100,200
"Shire, Lightsworn Spirit",Effect Monster,3,Fairy,LIGHT,400,1400
Marauding Captain,Effect Monster,3,Warrior,EARTH,1200,400
Inzektor Ladybug,Effect Monster,2,Insect,DARK,500,100
Sealmaster Meisei,Normal Monster,3,Spellcaster,DARK,1100,900
Water Omotics,Normal Monster,4,Aqua,WATER,1400,1200
Skull Knight,Fusion Monster,7,Spellcaster,DARK,2650,2250
Legendary Six Samurai - Kageki,Effect Monster,3,Warrior,WIND,200,2000
Sky Galloping Gaia the Dragon Champion,Fusion Monster,7,Dragon,WIND,2600,2100
Brotherhood of the Fire Fist - Swallow,Effect Monster,5,Beast-Warrior,FIRE,2000,800
"Defender, the Magical Knight",Effect Monster,4,Spellcaster,LIGHT,1600,2000
Galaxy-Eyes Cipher Blade Dragon,XYZ Monster,9,Dragon,LIGHT,3200,2800
Shocktopus,Effect Monster,4,Fish,WATER,1600,800
Wizard Buster Destruction Sword,Effect Monster,3,Spellcaster,DARK,1200,900
Photon Chargeman,Effect Monster,4,Warrior,LIGHT,1000,1000
Gladiator Beast Samnite,Effect Monster,3,Beast,EARTH,1600,1200
ZW - Sleipnir Mail,Effect Monster,4,Beast,LIGHT,1000,1000
Hyper Hammerhead,Effect Monster,4,Dinosaur,EARTH,1500,1200
Medusa Worm,Effect Monster,2,Rock,EARTH,500,600
Fluffal Cat,Effect Monster,1,Fairy,EARTH,700,300
Decoy Dragon,Effect Monster,2,Dragon,FIRE,300,200
Crystron Phoenix,Synchro Monster,9,Machine,WATER,2800,2000
Daigusto Phoenix,XYZ Monster,2,Pyro,WIND,1500,1100
Wattchimera,Synchro Monster,6,Thunder,LIGHT,1400,1200
Servant of Catabolism,Effect Monster,3,Aqua,LIGHT,700,500
PSY-Framegear Beta,Tuner Monster,1,Psychic,LIGHT,700,0
Flame Viper,Normal Monster,2,Pyro,EARTH,400,450
Rainbow Kuriboh,Effect Monster,1,Fiend,LIGHT,100,100
Nimble Sunfish,Effect Monster,2,Fish,WATER,1000,100
Reflect Bounder,Effect Monster,4,Machine,LIGHT,1700,1000
Grappler,Normal Monster,4,Reptile,WATER,1300,1200
Gogogo Golem - Golden Form,Effect Monster,4,Rock,EARTH,0,1500
Naturia Barkion,Synchro Monster,6,Dragon,EARTH,2500,1800
Wicked Dragon with the Ersatz Head,Normal Monster,3,Dragon,WIND,900,900
Ryu-Ran,Normal Monster,7,Dragon,FIRE,2200,2600
Orion the Battle King,Normal Monster,5,Fairy,LIGHT,1800,1500
Consecrated Light,Effect Monster,1,Fairy,LIGHT,0,0
Twilight Rose Knight,Tuner Monster,3,Warrior,DARK,1000,1000
Cyberdark Keel,Effect Monster,4,Machine,DARK,800,800
Test Ape,Effect Monster,2,Beast,EARTH,700,300
Invader of the Throne,Flip Effect Monster,4,Warrior,EARTH,1350,1700
Superheavy Samurai Soulbang Cannon,Effect Monster,3,Machine,EARTH,1000,1000
Snow Dragon,Effect Monster,4,Dragon,WATER,1400,900
Return Zombie,Effect Monster,4,Zombie,DARK,1000,1600
Blackwing - Hillen the Tengu-wind,Tuner Monster,5,Winged Beast,DARK,0,2300
Yata-Garasu,Spirit Monster,2,Fiend,WIND,200,100
Gem-Knight Seraphinite,Fusion Monster,5,Fairy,EARTH,2300,1400
Superheavy Samurai Big Benkei,Effect Monster,8,Machine,EARTH,1000,3500
Flying Kamakiri 2,Normal Monster,4,Insect,WIND,1500,800
Puppet King,Effect Monster,7,Warrior,EARTH,2800,2600
Takuhee,Normal Monster,4,Winged Beast,WIND,1450,1000
Worm Solid,Effect Monster,4,Reptile,LIGHT,1000,1600
Evoltile Lagosucho,Effect Monster,3,Reptile,FIRE,1200,500
Hieratic Dragon of Su,Effect Monster,6,Dragon,LIGHT,2200,1000
Alligator's Sword Dragon,Fusion Monster,5,Dragon,WIND,1700,1500
Cyber Phoenix,Effect Monster,4,Machine,FIRE,1200,1600
Gravekeeper's Priestess,Effect Monster,3,Spellcaster,DARK,1000,1500
Mozarta the Melodious Maestra,Effect Monster,8,Fairy,LIGHT,2600,2000
C-Crush Wyvern,Union Effect Monster,4,Machine,LIGHT,1200,2000
"Buster Blader, the Destruction Swordmaster",Effect Monster,7,Warrior,EARTH,2600,2300
Drill Warrior,Synchro Monster,6,Warrior,EARTH,2400,2000
Assault Beast,Effect Monster,4,Beast-Warrior,EARTH,1900,1200
