"Name","Type","Level","Race","Attribute","ATK","DEF","Cluster"
"The 13th Grave","Normal Monster",3,"Zombie","DARK",1200,900.0000000000001,"cluster_2"
"Castle of Dark Illusions","Flip Effect Monster",4,"Fiend","DARK",920,1930,"cluster_2"
"Lava Golem","Effect Monster",8,"Fiend","FIRE",3000,2500,"cluster_2"
"Seismic Crasher","Effect Monster",3,"Rock","EARTH",1400.0000000000002,300,"cluster_6"
"Laval Lancelord","Effect Monster",5.999999999999999,"Warrior","FIRE",2100,200,"cluster_2"
"Performapal Springoose","Effect Monster",5,"Winged Beast","WIND",1100,2400,"cluster_6"
"Miracle Flipper","Effect Monster",2,"Spellcaster","LIGHT",300,500,"cluster_1"
"Key Mouse","Tuner Monster",1,"Beast","EARTH",100,100,"cluster_1"
"Vylon Hept","Effect Monster",4,"Fairy","LIGHT",1800.0000000000002,800,"cluster_1"
"Koa'ki Meiru Prototype","Effect Monster",4,"Rock","EARTH",1800.0000000000002,1800.0000000000002,"cluster_6"
"Fenrir","Effect Monster",4,"Beast","WATER",1400.0000000000002,1200,"cluster_1"
"Rapid Warrior","Effect Monster",4,"Warrior","WIND",1200,200,"cluster_6"
"Mermail Abyssnose","Effect Monster",4,"Fish","WATER",1500,1500,"cluster_1"
"Jet Warrior","Synchro Monster",5,"Warrior","FIRE",2100,1200,"cluster_2"
"T.G. Warwolf","Effect Monster",3,"Beast-Warrior","DARK",1200,0,"cluster_4"
"Gusto Squirro","Tuner Monster",2,"Thunder","WIND",0,1800.0000000000002,"cluster_4"
"Performapal Elephammer","Effect Monster",5.999999999999999,"Beast","EARTH",2600,1800.0000000000002,"cluster_1"
"Evilswarm Nightmare","XYZ Monster",4,"Fiend","DARK",950,1950,"cluster_2"
"Dinomist Brachion","Pendulum Effect Monster",5,"Machine","WATER",2000,800,"cluster_4"
"Gagaga Sister","Effect Monster",2,"Spellcaster","DARK",200,800,"cluster_1"
"Wattgiraffe","Effect Monster",4,"Thunder","LIGHT",1200,100,"cluster_4"
"Summoner Monk","Effect Monster",4,"Spellcaster","DARK",800,1600,"cluster_1"
"Gearfried the Iron Knight","Effect Monster",4,"Warrior","EARTH",1800.0000000000002,1600,"cluster_6"
"Goblin of Greed","Effect Monster",4,"Fiend","EARTH",1000,1800.0000000000002,"cluster_2"
"Bahamut Shark","XYZ Monster",4,"Sea Serpent","WATER",2600,2100,"cluster_4"
"Frightfur Tiger","Fusion Monster",5.999999999999999,"Fiend","DARK",1900,1200,"cluster_3"
"Water Spirit","Normal Tuner Monster",1,"Aqua","WATER",400,1200,"cluster_0"
"Superheavy Samurai Warlord Susanowo","Synchro Monster",10,"Machine","EARTH",2400,3800,"cluster_4"
"Cherry Inmato","Tuner Monster",2,"Plant","DARK",700.0000000000001,400,"cluster_5"
"Prevent Rat","Normal Monster",4,"Beast","EARTH",500,2000,"cluster_1"
"Totem Dragon","Effect Monster",2,"Dragon","EARTH",400,200,"cluster_5"
"Daigusto Emeral","XYZ Monster",4,"Rock","WIND",1800.0000000000002,800,"cluster_6"
"Malefic Rainbow Dragon","Effect Monster",10,"Dragon","DARK",4000,0,"cluster_5"
"Virgil, Rock Star of the Burning Abyss","Synchro Monster",5.999999999999999,"Spellcaster","LIGHT",2500,1000,"cluster_1"
"Gladiator Beast Retiari","Effect Monster",3,"Aqua","WATER",1200,800,"cluster_4"
"Majespecter Toad - Ogama","Pendulum Effect Monster",4,"Spellcaster","WIND",1300,500,"cluster_3"
"Alien Ammonite","Tuner Monster",1,"Reptile","LIGHT",500,200,"cluster_5"
"Thunder End Dragon","XYZ Monster",8,"Dragon","LIGHT",3000,2000,"cluster_5"
